part,outlier_type,outlier_ratio,seed,rmse,msll,f1
P=30,focused,0.4,3,0.10516152342431802,-2.013457400116002,0.9949748743718593
P=30,focused,0.4,4,0.08655496673310398,-2.2050183225024744,1.0
P=30,focused,0.4,5,0.10064458095672821,-2.123442299306448,1.0
P=30,focused,0.4,6,0.09966774717902274,-2.280121006789499,1.0
P=30,focused,0.4,7,0.10598096924485774,-2.107678186540534,0.9105691056910568
P=30,focused,0.4,8,0.12005752166869647,-1.9356068979444978,1.0
P=30,focused,0.4,9,0.09976193253362432,-2.0964562650307745,1.0
P=30,uniform,0.4,0,0.09920694346614917,-2.095246922804713,0.9975062344139651
P=30,uniform,0.4,1,0.12638813190012319,-1.9013005718009421,1.0
P=30,uniform,0.4,2,0.10950788948503433,-2.08406198915483,1.0
P=30,uniform,0.4,3,0.13172661063286692,-1.7846053627879757,1.0
P=30,uniform,0.4,4,0.11636564712253865,-2.0982986706063644,0.9975062344139651
P=30,uniform,0.4,5,0.0987331260839968,-2.09824957394814,1.0
P=30,uniform,0.4,6,0.1000753863897246,-2.110975988499802,1.0
P=30,uniform,0.4,7,0.10441971020541857,-2.0348628714616845,1.0
P=30,uniform,0.4,8,0.1491620843183629,-1.5675815912756041,0.9975062344139651
P=30,uniform,0.4,9,0.11927030275623772,-1.983788555702973,1.0
P=60,asymmetric,0.4,0,0.12064608525172092,-1.755989904654332,0.9950248756218906
P=60,asymmetric,0.4,1,0.09505596021555379,-2.2509348081535374,1.0
P=60,asymmetric,0.4,2,0.1315789842196484,-1.6124784491683966,0.9950248756218906
P=60,asymmetric,0.4,3,0.10147983050620406,-2.0553634290643057,1.0
P=60,asymmetric,0.4,4,0.14535069134214748,-1.7077141353669303,1.0
P=60,asymmetric,0.4,5,0.10990816749977682,-1.8287359448933471,1.0
P=60,asymmetric,0.4,6,0.09845065494151663,-2.1922853416679158,0.9950248756218906
P=60,asymmetric,0.4,7,0.12199341105913107,-1.958430065734398,1.0
P=60,asymmetric,0.4,8,0.11252109499520663,-1.980930023538764,1.0
P=60,asymmetric,0.4,9,0.11593270014924009,-1.9949811508404307,1.0
P=60,focused,0.4,0,0.08984031040066903,-2.2825003189594124,1.0
P=60,focused,0.4,1,0.09792885816236521,-1.944514421034802,0.9975062344139651
P=60,focused,0.4,2,0.1696979865875248,-1.2633575098781193,1.0
P=60,focused,0.4,3,0.10516152342431802,-2.013457400116002,0.9949748743718593
P=60,focused,0.4,4,0.08655496673310398,-2.2050183225024744,1.0
P=60,focused,0.4,5,0.10064458095672821,-2.123442299306448,1.0
P=60,focused,0.4,6,0.09966774717902274,-2.280121006789499,1.0
P=60,focused,0.4,7,0.10598096924485774,-2.107678186540534,0.9105691056910568
P=60,focused,0.4,8,0.12005752166869647,-1.9356068979444978,1.0
P=60,focused,0.4,9,0.09976193253362432,-2.0964562650307745,1.0
P=60,uniform,0.4,0,0.09920694346614917,-2.095246922804713,0.9975062344139651
P=60,uniform,0.4,1,0.12638813190012319,-1.9013005718009421,1.0
P=60,uniform,0.4,2,0.10950788948503433,-2.08406198915483,1.0
P=60,uniform,0.4,3,0.13172661063286692,-1.7846053627879757,1.0
P=60,uniform,0.4,4,0.11636564712253865,-2.0982986706063644,0.9975062344139651
P=60,uniform,0.4,5,0.0987331260839968,-2.09824957394814,1.0
P=60,uniform,0.4,6,0.1000753863897246,-2.110975988499802,1.0
P=60,uniform,0.4,7,0.10441971020541857,-2.0348628714616845,1.0
P=60,uniform,0.4,8,0.1491620843183629,-1.5675815912756041,0.9975062344139651
P=60,uniform,0.4,9,0.11927030275623772,-1.983788555702973,1.0
P=120,asymmetric,0.4,0,0.12064608525172092,-1.755989904654332,0.9950248756218906
P=120,asymmetric,0.4,1,0.09505596021555379,-2.2509348081535374,1.0
P=120,asymmetric,0.4,2,0.1315789842196484,-1.6124784491683966,0.9950248756218906
P=120,asymmetric,0.4,3,0.10147983050620406,-2.0553634290643057,1.0
P=120,asymmetric,0.4,4,0.14535069134214748,-1.7077141353669303,1.0
P=120,asymmetric,0.4,5,0.10990816749977682,-1.8287359448933471,1.0
P=120,asymmetric,0.4,6,0.09845065494151663,-2.1922853416679158,0.9950248756218906
P=120,asymmetric,0.4,7,0.12199341105913107,-1.958430065734398,1.0
P=120,asymmetric,0.4,8,0.11252109499520663,-1.980930023538764,1.0
P=120,asymmetric,0.4,9,0.11593270014924009,-1.9949811508404307,1.0
P=120,focused,0.4,0,0.08984031040066903,-2.2825003189594124,1.0
P=120,focused,0.4,1,0.09792885816236521,-1.944514421034802,0.9975062344139651
P=120,focused,0.4,2,0.1696979865875248,-1.2633575098781193,1.0
P=120,focused,0.4,3,0.10516152342431802,-2.013457400116002,0.9949748743718593
P=120,focused,0.4,4,0.08655496673310398,-2.2050183225024744,1.0
P=120,focused,0.4,5,0.10064458095672821,-2.123442299306448,1.0
P=120,focused,0.4,6,0.09966774717902274,-2.280121006789499,1.0
P=120,focused,0.4,7,0.10598096924485774,-2.107678186540534,0.9105691056910568
P=120,focused,0.4,8,0.12005752166869647,-1.9356068979444978,1.0
P=120,focused,0.4,9,0.09976193253362432,-2.0964562650307745,1.0
P=120,uniform,0.4,0,0.09920694346614917,-2.095246922804713,0.9975062344139651
P=120,uniform,0.4,1,0.12638813190012319,-1.9013005718009421,1.0
P=120,uniform,0.4,2,0.10950788948503433,-2.08406198915483,1.0
P=120,uniform,0.4,3,0.13172661063286692,-1.7846053627879757,1.0
P=120,uniform,0.4,4,0.11636564712253865,-2.0982986706063644,0.9975062344139651
P=120,uniform,0.4,5,0.0987331260839968,-2.09824957394814,1.0
P=120,uniform,0.4,6,0.1000753863897246,-2.110975988499802,1.0
